Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,0.38 ,0.29 , 0.48,,0.44 ,0.34 , 0.54,,0.50 ,0.39 , 0.61,,0.55 ,0.45 , 0.67,,0.60 ,0.49 , 0.73,,0.65 ,0.54 , 0.78,,0.69 ,0.58 , 0.83,,0.73 ,0.62 , 0.85,,0.75 ,0.64 , 0.89,,0.77 ,0.66 , 0.91,,0.79 ,0.67 , 0.91,,0.79 ,0.68 , 0.91,,0.79 ,0.68 , 0.90,,0.78 ,0.67 , 0.89,,0.76 ,0.65 , 0.87,,0.72 ,0.61 , 0.83,,0.68 ,0.58 , 0.78,,0.63 ,0.53 , 0.72,,0.60 ,0.51 , 0.69,,0.58 ,0.49 , 0.66,,0.52 ,0.44 , 0.61,,0.49 ,0.41 , 0.57,,0.46 ,0.38 , 0.54,,0.41 ,0.33 , 0.48,,0.37 ,0.30 , 0.44,,0.34 ,0.27 , 0.40,,0.29 ,0.22 , 0.35,,0.25 ,0.19 , 0.30,,0.19 ,0.14 , 0.25,,0.16 ,0.12 , 0.21,,0.15 ,0.12 , 0.20,
Denmark,<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication."
Djibouti,0.01 ,<0.01 , 0.05,,0.02 ,<0.01 , 0.09,,0.04 ,<0.01 , 0.15,,0.07 ,0.01 , 0.23,,0.12 ,0.02 , 0.35,,0.19 ,0.04 , 0.51,,0.28 ,0.06 , 0.69,,0.39 ,0.09 , 0.85,,0.52 ,0.15 , 1.05,,0.65 ,0.24 , 1.28,,0.78 ,0.33 , 1.48,,0.91 ,0.42 , 1.70,,1.04 ,0.50 , 1.89,,1.07 ,0.53 , 1.83,,1.12 ,0.56 , 1.80,,1.17 ,0.65 , 1.81,,1.25 ,0.77 , 1.82,,1.19 ,0.80 , 1.65,,1.11 ,0.77 , 1.49,,1.06 ,0.75 , 1.39,,1.03 ,0.72 , 1.36,,1.01 ,0.72 , 1.32,,0.96 ,0.68 , 1.26,,0.82 ,0.56 , 1.13,,0.77 ,0.52 , 1.07,,0.68 ,0.46 , 0.95,,0.56 ,0.35 , 0.81,,0.47 ,0.27 , 0.72,,0.41 ,0.23 , 0.64,,0.36 ,0.19 , 0.57,,0.35 ,0.19 , 0.53,
Dominican Republic,0.06 ,0.04 , 0.17,,0.09 ,0.05 , 0.20,,0.13 ,0.08 , 0.25,,0.18 ,0.11 , 0.29,,0.24 ,0.14 , 0.37,,0.30 ,0.19 , 0.45,,0.37 ,0.25 , 0.55,,0.44 ,0.30 , 0.63,,0.51 ,0.36 , 0.73,,0.58 ,0.42 , 0.83,,0.64 ,0.48 , 0.92,,0.69 ,0.52 , 0.99,,0.73 ,0.55 , 1.02,,0.76 ,0.58 , 1.05,,0.78 ,0.59 , 1.08,,0.77 ,0.58 , 1.06,,0.69 ,0.50 , 0.99,,0.61 ,0.43 , 0.90,,0.53 ,0.35 , 0.79,,0.47 ,0.30 , 0.72,,0.43 ,0.26 , 0.66,,0.38 ,0.23 , 0.59,,0.35 ,0.21 , 0.55,,0.32 ,0.19 , 0.51,,0.30 ,0.17 , 0.47,,0.26 ,0.15 , 0.41,,0.24 ,0.14 , 0.37,,0.22 ,0.13 , 0.36,,0.21 ,0.13 , 0.33,,0.19 ,0.12 , 0.30,,0.17 ,0.11 , 0.26,
Ecuador,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.03,,0.01 ,<0.01 , 0.04,,0.02 ,<0.01 , 0.05,,0.03 ,<0.01 , 0.06,,0.03 ,<0.01 , 0.06,,0.03 ,<0.01 , 0.07,,0.04 ,<0.01 , 0.08,,0.05 ,0.01 , 0.10,,0.06 ,0.02 , 0.11,,0.07 ,0.03 , 0.13,,0.08 ,0.04 , 0.14,,0.09 ,0.04 , 0.15,,0.10 ,0.05 , 0.16,,0.10 ,0.06 , 0.17,,0.10 ,0.06 , 0.17,,0.10 ,0.06 , 0.16,,0.10 ,0.06 , 0.16,,0.09 ,0.05 , 0.14,,0.07 ,0.04 , 0.12,,0.06 ,0.04 , 0.12,,0.06 ,0.03 , 0.10,,0.05 ,0.03 , 0.11,,0.06 ,0.03 , 0.13,,0.08 ,0.04 , 0.14,,0.07 ,0.04 , 0.12,,0.05 ,0.03 , 0.10,,0.04 ,0.02 , 0.08,,0.03 ,0.02 , 0.07,,0.03 ,0.02 , 0.06,,0.03 ,0.02 , 0.05,
Egypt,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,
El Salvador,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,0.01 ,0.01 , 0.02,,0.02 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.04 ,0.03 , 0.04,,0.05 ,0.04 , 0.06,,0.06 ,0.05 , 0.07,,0.07 ,0.06 , 0.08,,0.08 ,0.07 , 0.10,,0.09 ,0.08 , 0.11,,0.10 ,0.09 , 0.12,,0.10 ,0.09 , 0.12,,0.10 ,0.09 , 0.11,,0.08 ,0.07 , 0.10,,0.07 ,0.06 , 0.08,,0.06 ,0.06 , 0.08,,0.06 ,0.05 , 0.07,,0.06 ,0.05 , 0.07,,0.05 ,0.05 , 0.07,,0.05 ,0.04 , 0.06,,0.05 ,0.04 , 0.06,,0.05 ,0.04 , 0.06,,0.05 ,0.04 , 0.07,,0.06 ,0.04 , 0.09,,0.08 ,0.05 , 0.10,,0.08 ,0.06 , 0.11,,0.09 ,0.07 , 0.12,,0.10 ,0.08 , 0.13,,0.10 ,0.08 , 0.12,
Equatorial Guinea,0.15 ,0.05 , 0.33,,0.19 ,0.07 , 0.40,,0.24 ,0.09 , 0.47,,0.30 ,0.13 , 0.56,,0.37 ,0.17 , 0.67,,0.45 ,0.21 , 0.78,,0.53 ,0.27 , 0.90,,0.62 ,0.33 , 1.04,,0.73 ,0.40 , 1.18,,0.83 ,0.48 , 1.33,,0.95 ,0.57 , 1.46,,1.06 ,0.66 , 1.62,,1.18 ,0.76 , 1.74,,1.30 ,0.85 , 1.89,,1.42 ,0.96 , 2.01,,1.48 ,1.03 , 2.06,,1.49 ,1.03 , 2.02,,1.52 ,1.08 , 2.02,,1.48 ,1.07 , 1.98,,1.53 ,1.14 , 2.02,,1.50 ,1.12 , 2.00,,1.61 ,1.20 , 2.09,,1.74 ,1.30 , 2.20,,1.71 ,1.28 , 2.17,,1.47 ,1.11 , 1.91,,1.52 ,1.09 , 2.02,,1.66 ,1.20 , 2.24,,1.68 ,1.24 , 2.25,,1.53 ,1.12 , 2.10,,1.56 ,1.13 , 2.20,,1.61 ,1.10 , 2.35,
Eritrea,0.17 ,0.06 , 0.34,,0.21 ,0.07 , 0.40,,0.26 ,0.10 , 0.47,,0.30 ,0.12 , 0.52,,0.35 ,0.15 , 0.57,,0.39 ,0.19 , 0.61,,0.42 ,0.23 , 0.65,,0.46 ,0.26 , 0.68,,0.49 ,0.29 , 0.71,,0.53 ,0.33 , 0.75,,0.56 ,0.37 , 0.78,,0.59 ,0.40 , 0.80,,0.61 ,0.43 , 0.81,,0.63 ,0.45 , 0.82,,0.63 ,0.46 , 0.81,,0.61 ,0.44 , 0.79,,0.54 ,0.38 , 0.71,,0.44 ,0.30 , 0.60,,0.34 ,0.22 , 0.48,,0.27 ,0.16 , 0.40,,0.23 ,0.13 , 0.34,,0.19 ,0.11 , 0.29,,0.16 ,0.09 , 0.26,,0.14 ,0.07 , 0.22,,0.11 ,0.06 , 0.20,,0.10 ,0.05 , 0.18,,0.09 ,0.05 , 0.16,,0.08 ,0.04 , 0.16,,0.08 ,0.04 , 0.15,,0.07 ,0.03 , 0.14,,0.08 ,0.03 , 0.15,
Estonia,<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01,,,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.05 ,0.03 , 0.06,"Children estimates were not available at the time of publication.",0.06 ,0.04 , 0.07,"Children estimates were not available at the time of publication.",0.05 ,0.04 , 0.07,"Children estimates were not available at the time of publication.",0.05 ,0.04 , 0.07,"Children estimates were not available at the time of publication.",0.05 ,0.03 , 0.06,"Children estimates were not available at the time of publication.",0.05 ,0.03 , 0.06,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.06,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.05,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication."
Eswatini,0.11 ,0.08 , 0.15,,0.23 ,0.18 , 0.31,,0.45 ,0.35 , 0.60,,0.80 ,0.62 , 1.04,,1.29 ,1.01 , 1.64,,1.91 ,1.53 , 2.39,,2.63 ,2.14 , 3.27,,3.41 ,2.82 , 4.19,,4.23 ,3.56 , 5.11,,5.09 ,4.35 , 6.06,,5.99 ,5.17 , 7.05,,6.87 ,5.97 , 8.00,,7.56 ,6.63 , 8.72,,8.15 ,7.22 , 9.33,,8.67 ,7.69 , 9.92,,8.81 ,7.90 , 9.99,,7.98 ,7.12 , 9.23,,7.01 ,6.23 , 8.10,,6.37 ,5.64 , 7.48,,5.64 ,5.00 , 6.62,,4.94 ,4.31 , 5.82,,4.08 ,3.57 , 4.82,,3.40 ,2.90 , 4.10,,3.16 ,2.69 , 3.80,,3.15 ,2.77 , 3.62,,3.02 ,2.67 , 3.44,,2.84 ,2.49 , 3.29,,2.78 ,2.40 , 3.28,,2.54 ,2.19 , 2.99,,2.25 ,1.91 , 2.64,,2.16 ,1.81 , 2.53,
Ethiopia,0.34 ,0.19 , 0.57,,0.44 ,0.25 , 0.73,,0.55 ,0.31 , 0.91,,0.66 ,0.37 , 1.10,,0.77 ,0.44 , 1.28,,0.87 ,0.49 , 1.45,,0.96 ,0.54 , 1.60,,1.03 ,0.59 , 1.73,,1.09 ,0.62 , 1.82,,1.13 ,0.64 , 1.88,,1.14 ,0.65 , 1.92,,1.15 ,0.65 , 1.92,,1.13 ,0.64 , 1.89,,1.10 ,0.63 , 1.84,,1.05 ,0.60 , 1.76,,0.97 ,0.55 , 1.63,,0.86 ,0.49 , 1.45,,0.71 ,0.40 , 1.19,,0.55 ,0.31 , 0.92,,0.44 ,0.25 , 0.73,,0.35 ,0.20 , 0.58,,0.28 ,0.16 , 0.47,,0.23 ,0.13 , 0.38,,0.20 ,0.11 , 0.33,,0.19 ,0.11 , 0.32,,0.19 ,0.11 , 0.31,,0.17 ,0.10 , 0.29,,0.16 ,0.09 , 0.27,,0.15 ,0.09 , 0.25,,0.14 ,0.08 , 0.23,,0.13 ,0.07 , 0.21,
Fiji,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.03,,<0.01 ,<0.01 , 0.03,,0.01 ,<0.01 , 0.04,,0.01 ,<0.01 , 0.05,,0.01 ,<0.01 , 0.06,,0.01 ,<0.01 , 0.06,,0.01 ,<0.01 , 0.06,,0.01 ,<0.01 , 0.06,,0.01 ,<0.01 , 0.06,,0.01 ,<0.01 , 0.06,,0.01 ,<0.01 , 0.06,,0.02 ,<0.01 , 0.06,,0.02 ,<0.01 , 0.06,,0.01 ,<0.01 , 0.05,,0.02 ,<0.01 , 0.05,,0.02 ,<0.01 , 0.05,,0.03 ,0.01 , 0.06,,0.03 ,0.02 , 0.06,,0.03 ,0.02 , 0.07,,0.03 ,0.01 , 0.07,,0.03 ,0.01 , 0.07,
Finland,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
France,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Gabon,0.22 ,0.10 , 0.39,,0.29 ,0.14 , 0.50,,0.39 ,0.19 , 0.66,,0.50 ,0.25 , 0.86,,0.65 ,0.33 , 1.07,,0.81 ,0.43 , 1.32,,0.99 ,0.55 , 1.59,,1.19 ,0.68 , 1.84,,1.39 ,0.82 , 2.15,,1.59 ,0.96 , 2.38,,1.78 ,1.12 , 2.63,,1.95 ,1.27 , 2.82,,2.06 ,1.36 , 2.95,,2.12 ,1.42 , 3.03,,2.15 ,1.45 , 3.08,,1.94 ,1.27 , 2.85,,1.67 ,1.09 , 2.47,,1.64 ,1.05 , 2.40,,1.62 ,1.09 , 2.35,,1.59 ,1.06 , 2.28,,1.48 ,1.00 , 2.14,,1.44 ,1.00 , 2.03,,1.32 ,0.91 , 1.85,,1.10 ,0.73 , 1.56,,0.91 ,0.59 , 1.30,,0.82 ,0.53 , 1.17,,0.69 ,0.47 , 0.96,,0.59 ,0.42 , 0.81,,0.55 ,0.40 , 0.76,,0.51 ,0.36 , 0.71,,0.42 ,0.29 , 0.65,
Gambia,0.02 ,<0.01 , 0.06,,0.03 ,0.01 , 0.08,,0.05 ,0.02 , 0.10,,0.07 ,0.04 , 0.14,,0.10 ,0.06 , 0.18,,0.14 ,0.09 , 0.23,,0.18 ,0.12 , 0.29,,0.23 ,0.16 , 0.35,,0.29 ,0.21 , 0.42,,0.35 ,0.26 , 0.49,,0.42 ,0.31 , 0.57,,0.49 ,0.37 , 0.64,,0.55 ,0.42 , 0.72,,0.62 ,0.48 , 0.79,,0.68 ,0.53 , 0.86,,0.72 ,0.56 , 0.90,,0.71 ,0.55 , 0.90,,0.75 ,0.58 , 0.94,,0.77 ,0.59 , 0.97,,0.76 ,0.58 , 0.96,,0.73 ,0.54 , 0.92,,0.64 ,0.45 , 0.83,,0.56 ,0.39 , 0.76,,0.54 ,0.38 , 0.74,,0.58 ,0.41 , 0.78,,0.59 ,0.42 , 0.78,,0.59 ,0.42 , 0.79,,0.57 ,0.40 , 0.76,,0.56 ,0.39 , 0.76,,0.56 ,0.38 , 0.77,,0.55 ,0.37 , 0.78,
Georgia,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01,,,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.02,,0.01 ,0.01 , 0.02,,0.02 ,0.01 , 0.02,,0.02 ,0.01 , 0.02,
Germany,0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.03 , 0.04,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication."
